     #Energy           s          py          pz          px         dxy         dyz         dz2         dxz         dx2       tot  	     #Energy           s          py          pz          px         dxy         dyz         dz2         dxz         dx2       tot  
   -12.12166    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000	   -12.12166     0.00000     0.00000     0.00000     0.00000    -0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -12.09666    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000	   -12.09666     0.00000     0.00000     0.00000     0.00000    -0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -12.07166    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000	   -12.07166     0.00000     0.00000     0.00000     0.00000    -0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -12.04666    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000	   -12.04666     0.00000     0.00000     0.00000     0.00000    -0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -12.02166    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000	   -12.02166     0.00000     0.00000     0.00000     0.00000    -0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -11.99666    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000	   -11.99666     0.00000     0.00000     0.00000     0.00000    -0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -11.97166    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000	   -11.97166     0.00000     0.00000     0.00000     0.00000    -0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -11.94666    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000	   -11.94666     0.00000     0.00000     0.00000     0.00000    -0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -11.92166    -0.00001    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00001	   -11.92166     0.00000     0.00000     0.00000     0.00000    -0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -11.89666    -0.00013    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00013	   -11.89666     0.00002     0.00000     0.00000     0.00000    -0.00000     0.00000     0.00000     0.00000     0.00000     0.00002
